Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),CHF2(81),HF(38),HO2(10),CHF(40),FC1OO1(136),[O]C([O])F(138),H(5)
0.0,0.20524232615034835,3.76,0.0,0.5271080673160004,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.346935525383617e-21,0.20524232615034835,3.76,0.0,0.5271080673160002,1.0,-1.475203452592366e-84,6.805197195274758e-56,4.905448816197836e-18,1.2738106834200234e-16,4.9054488084077735e-18,1.2738106834200234e-16,2.5920432211955494e-35,3.1984320001568587e-34,7.790062344765524e-27
9.371419471074127e-21,0.20524232615034835,3.76,0.0,0.527108067316,1.0,1.4575962153067006e-83,1.0284017316964811e-54,1.3735256685353937e-17,3.5666699135760643e-16,1.3735256663541754e-17,3.5666699135760643e-16,1.5655941056326317e-34,1.93185292809169e-33,2.1812182095676942e-26
2.1420387362455147e-20,0.20524232615034843,3.76,0.0,0.5271080673159996,1.0,8.039301569817454e-82,1.1063083917450724e-53,3.139487242366611e-17,8.15238837388814e-16,3.139487237380966e-17,8.15238837388814e-16,7.5376616876944495e-34,9.30104025641035e-33,4.9856451718833684e-26
4.551832314521719e-20,0.20524232615034843,3.76,0.0,0.5271080673159986,1.0,3.1639952543583427e-80,1.0168893704224842e-52,6.67141039002904e-17,1.7323825294512268e-15,6.671410379434528e-17,1.7323825294512268e-15,3.2918948913914014e-33,4.0620086401518916e-32,1.0594511145048277e-25
9.371419471074127e-20,0.2052423261503485,3.76,0.0,0.5271080673159967,0.9999999999999999,1.1179138236632402e-78,8.699725907773225e-52,1.3735256685353868e-16,3.5666699135760446e-15,1.3735256663541575e-16,3.5666699135760446e-15,1.374301316303629e-32,1.695808646440581e-31,2.181229128551233e-25
1.9010593784178944e-19,0.20524232615034863,3.76,0.0,0.5271080673159929,0.9999999999999998,3.755742821210626e-77,7.193140072232686e-51,2.7862949276003414e-16,7.235244681825645e-15,2.7862949231755373e-16,7.235244681825645e-15,5.614469302443082e-32,6.9279316492592045e-31,4.42480443429774e-25
3.828894241038858e-19,0.20524232615034893,3.76,0.0,0.5271080673159853,0.9999999999999994,1.2311975529020944e-75,5.849404591166622e-50,5.611833445730204e-16,1.4572394218324708e-14,5.611833436818172e-16,1.4572394218324705e-14,2.269458261196456e-31,2.8003807405767492e-30,8.912032156405538e-25
7.684563966280784e-19,0.20524232615034946,3.76,0.0,0.52710806731597,0.9999999999999989,3.9875229391031395e-74,4.717857602730497e-49,1.1262910481989748e-15,2.924669329132229e-14,1.1262910464102952e-15,2.924669329132227e-14,9.125391865998326e-31,1.126020779142658e-29,1.7886796043080275e-24
1.5395903416764636e-18,0.2052423261503507,3.76,0.0,0.5271080673159395,0.9999999999999978,1.2837310786589318e-72,3.789801876845585e-48,2.2565064554508102e-15,5.859529143731522e-14,2.2565064518670546e-15,5.859529143731517e-14,3.659690291119666e-30,4.515846948491687e-29,3.58375575862663e-24
