Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),HF(38),CHF(40),CHF2(81),FC1OO1(129),[O]C([O])F(131)
0.0,0.40722969099234724,3.76,0.0,0.6142325382788936,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.014348554649107e-21,0.4072296909923472,3.76,0.0,0.6142325382788935,1.0,0.0,0.0,1.172603939955857e-16,1.172603939955857e-16,0.0,7.60207644247888e-36,9.078124520059996e-35
1.12401759530175e-20,0.40722969099234724,3.76,0.0,0.6142325382788932,1.0,0.0,0.0,3.2832910318763986e-16,3.2832910318763986e-16,0.0,4.591654172759818e-35,5.4831872099659765e-34
2.5691830749754284e-20,0.40722969099234735,3.76,0.0,0.6142325382788928,1.0,0.0,0.0,7.504665215717478e-16,7.504665215717478e-16,0.0,2.210683831726722e-34,2.639918610208057e-33
5.459514034322785e-20,0.4072296909923474,3.76,0.0,0.6142325382788919,1.0,0.0,0.0,1.594741358339962e-15,1.594741358339962e-15,0.0,9.654637105238109e-34,1.1529218138147172e-32
1.12401759530175e-19,0.40722969099234746,3.76,0.0,0.6142325382788902,1.0,0.0,0.0,3.2832910318763857e-15,3.2832910318763857e-15,0.0,4.030620950763245e-33,4.8132216184396923e-32
2.280149979040693e-19,0.40722969099234774,3.76,0.0,0.6142325382788869,1.0,0.0,0.0,6.6603903789492066e-15,6.6603903789492066e-15,0.0,1.6466401834936263e-32,1.9663580817683624e-31
4.592414746518578e-19,0.40722969099234824,3.76,0.0,0.6142325382788801,1.0,0.0,0.0,1.341458907309475e-14,1.341458907309475e-14,0.0,6.655982971042321e-32,7.948333752691047e-31
9.21694428147435e-19,0.4072296909923493,3.76,0.0,0.6142325382788666,1.0,0.0,0.0,2.6922986461385435e-14,2.692298646138543e-14,0.0,2.676341538288749e-31,3.1959900379442416e-30
1.846600335138589e-18,0.4072296909923513,3.76,0.0,0.6142325382788396,1.0,0.0,0.0,5.3939781237965215e-14,5.393978123796521e-14,0.0,1.0733327070470032e-30,1.281734944574526e-29
3.696412149120898e-18,0.4072296909923554,3.76,0.0,0.6142325382787855,1.0,0.0,0.0,1.0797337079111848e-13,1.0797337079111843e-13,0.0,4.298929685498664e-30,5.133625233905697e-29
7.396035777085515e-18,0.4072296909923636,3.76,0.0,0.6142325382786775,1.0,0.0,0.0,2.1604054989739966e-13,2.1604054989739943e-13,0.0,1.7206925147187596e-29,2.0547879241977294e-28
