Time (s),Volume (m^3),N2,Ne,CH2F2(1),O2(2),H2O(3),OH(4),HF(38),CHF(40),CHF2(81),FC1OO1(129)
0.0,0.13114681141106482,3.76,0.0,0.847538786450666,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3.482593760687822e-21,0.13114681141106482,3.76,0.0,0.8475387864506659,1.0,0.0,0.0,1.1180339887498948e-16,1.1180339887498948e-16,0.0,5.654233065443775e-37
9.751262529925903e-21,0.13114681141106482,3.76,0.0,0.8475387864506657,1.0,0.0,0.0,3.1304951684997045e-16,3.1304951684997045e-16,0.0,3.41515677152804e-36
2.2288600068402065e-20,0.13114681141106482,3.76,0.0,0.8475387864506653,1.0,0.0,0.0,7.155417527999322e-16,7.155417527999322e-16,0.0,1.644250975431049e-35
4.7363275145354384e-20,0.13114681141106485,3.76,0.0,0.8475387864506645,1.0,0.0,0.0,1.5205262246998546e-15,1.5205262246998546e-15,0.0,7.180875993113584e-35
9.751262529925902e-20,0.13114681141106488,3.76,0.0,0.8475387864506628,1.0,0.0,0.0,3.1304951684996942e-15,3.1304951684996942e-15,0.0,2.99787437129828e-34
1.9781132560706832e-19,0.13114681141106493,3.76,0.0,0.8475387864506596,1.0,0.0,0.0,6.350433056099358e-15,6.350433056099358e-15,0.0,1.2247294989073751e-33
3.984087262226869e-19,0.1311468114110651,3.76,0.0,0.8475387864506532,1.0,0.0,0.0,1.2790308831298615e-14,1.2790308831298615e-14,0.0,4.950552451983098e-33
7.996035274539241e-19,0.1311468114110654,3.76,0.0,0.8475387864506403,1.0,0.0,0.0,2.5670060381696854e-14,2.5670060381696854e-14,0.0,1.9905953676216872e-32
1.6019931299163985e-18,0.13114681141106602,3.76,0.0,0.8475387864506145,1.0,0.0,0.0,5.1429563482492224e-14,5.1429563482492224e-14,0.0,7.983177739701223e-32
3.206772334841347e-18,0.13114681141106724,3.76,0.0,0.847538786450563,1.0,0.0,0.0,1.0294856968407855e-13,1.0294856968407855e-13,0.0,3.1974350992790214e-31
6.416330744691244e-18,0.13114681141106965,3.76,0.0,0.84753878645046,1.0,0.0,0.0,2.0598658208723356e-13,2.0598658208723356e-13,0.0,1.2798073153467836e-30
1.2835447564391039e-17,0.13114681141107445,3.76,0.0,0.8475387864502539,1.0,0.0,0.0,4.120626068934729e-13,4.120626068934729e-13,0.0,5.120896287612188e-30
2.5673681203790626e-17,0.1311468114110841,3.76,0.0,0.8475387864498418,1.0,0.0,0.0,8.242146565056692e-13,8.242146565056692e-13,0.0,2.048691967784745e-29
5.1350148482589807e-17,0.13114681141110338,3.76,0.0,0.8475387864490175,1.0,0.0,0.0,1.648518755728932e-12,1.648518755728932e-12,0.0,8.195434824108691e-29
1.0270308304018817e-16,0.1311468114111419,3.76,0.0,0.8475387864473689,1.0,0.0,0.0,3.2971269541709382e-12,3.2971269541709382e-12,0.0,3.2783073249825032e-28
2.054089521553849e-16,0.13114681141121903,3.76,0.0,0.8475387864440717,1.0,0.0,0.0,6.59434335103687e-12,6.594343351036868e-12,0.0,1.3113496095321842e-27
4.1082069038577834e-16,0.13114681141137324,3.76,0.0,0.8475387864374773,1.0,0.0,0.0,1.3188776144696423e-11,1.3188776144696418e-11,0.0,5.245451797653441e-27
8.216441668465651e-16,0.13114681141168172,3.76,0.0,0.8475387864242884,1.0,0.0,0.0,2.6377641731726263e-11,2.637764173172624e-11,0.0,2.098191390990917e-26
1.643291119768139e-15,0.13114681141229864,3.76,0.0,0.8475387863979107,1.0,0.0,0.0,5.2755372904628904e-11,5.275537290462881e-11,0.0,8.392786907687085e-26
3.2865850256112865e-15,0.13114681141353243,3.76,0.0,0.8475387863451552,1.0,0.0,0.0,1.0551083524580599e-10,1.0551083524580564e-10,0.0,3.357119031677739e-25
6.573172837297581e-15,0.1311468114160001,3.76,0.0,0.8475387862396443,1.0,0.0,0.0,2.1102175990964752e-10,2.1102175990964612e-10,0.0,1.3428484662749287e-24
1.314634846067017e-14,0.1311468114209354,3.76,0.0,0.8475387860286224,1.0,0.0,0.0,4.2204360916327964e-10,4.2204360916327427e-10,0.0,5.371395571370072e-24
2.6292699707415347e-14,0.13114681143080598,3.76,0.0,0.8475387856065787,1.0,0.0,0.0,8.440873073743405e-10,8.440873073743189e-10,0.0,2.148558569051921e-23
5.258540220090571e-14,0.13114681145054716,3.76,0.0,0.8475387847624913,1.0,0.0,0.0,1.6881747026116487e-09,1.6881747026115627e-09,0.0,8.594234951213704e-23
1.0517080718788643e-13,0.13114681149002946,3.76,0.0,0.8475387830743165,1.0,0.0,0.0,3.3763494883470113e-09,3.376349488346668e-09,0.0,3.4376941106852393e-22
2.1034161716184787e-13,0.13114681156899416,3.76,0.0,0.847538779697967,1.0,0.0,0.0,6.75269904086072e-09,6.752699040859344e-09,0.0,1.3750776664728871e-21
4.206832371097707e-13,0.13114681172692352,3.76,0.0,0.847538772945268,1.0,0.0,0.0,1.3505398070060036e-08,1.3505398070054535e-08,0.0,5.500310679559834e-21
6.310248570576935e-13,0.13114681188485283,3.76,0.0,0.847538766192569,1.0,0.0,0.0,2.0258097023431237e-08,2.0258097023419547e-08,0.0,1.1688160166794944e-20
1e-12,0.13114681220071153,3.76,0.0,0.8475387543471814,1.0,0.0,0.0,3.210348457072673e-08,3.2103484570696953e-08,0.0,2.9779068790033096e-20
1.0517080969535393e-12,0.13114681220071153,3.76,0.0,0.8475387526871714,1.0,0.0,0.0,3.376349462686099e-08,3.3763494626828675e-08,0.0,3.2314324822752585e-20
1.472391336849385e-12,0.13114681251657023,3.76,0.0,0.8475387391817741,1.0,0.0,0.0,4.726889192697789e-08,4.7268891926916704e-08,0.0,6.119095493515692e-20
1.8930745767452307e-12,0.1311468128324289,3.76,0.0,0.8475387256763772,1.0,0.0,0.0,6.077428892378173e-08,6.077428892368342e-08,0.0,9.831805027896713e-20
2.734441056536922e-12,0.13114681346414625,3.76,0.0,0.8475386986655837,1.0,0.0,0.0,8.778508220553137e-08,8.778508220533946e-08,0.0,1.919355770036443e-19
3.5758075363286134e-12,0.13114681409586354,3.76,0.0,0.8475386716547917,1.0,0.0,0.0,1.1479587437188862e-07,1.1479587437157276e-07,0.0,3.1589300503578674e-19
5.2585404959119965e-12,0.13114681535929804,3.76,0.0,0.847538617633211,1.0,0.0,0.0,1.6881745504203542e-07,1.68817455041372e-07,0.0,6.634334826028605e-19
6.941273455495379e-12,0.13114681662273245,3.76,0.0,0.8475385636116353,1.0,0.0,0.0,2.2283903088416574e-07,2.2283903088302346e-07,0.0,1.1423007393382409e-18
1e-11,0.1311468191496009,3.76,0.0,0.8475384654158958,1.0,0.0,0.0,3.210347702389395e-07,3.210347702365889e-07,0.0,2.350608054609364e-18
1.0306739374662145e-11,0.1311468191496009,3.76,0.0,0.847538455568498,1.0,0.0,0.0,3.308821680175809e-07,3.3088216801508506e-07,0.0,2.495830541207538e-18
1.7037671212995676e-11,0.13114682420333648,3.76,0.0,0.8475382394822819,1.0,0.0,0.0,5.469683840657516e-07,5.469683840589652e-07,0.0,6.786474160191294e-18
3.049953488966274e-11,0.13114683431080218,3.76,0.0,0.847537807310083,1.0,0.0,0.0,9.791405832212145e-07,9.791405831995106e-07,0.0,2.1703796586613297e-17
5.742326224299687e-11,0.13114685452571176,3.76,0.0,0.8475369429666165,1.0,0.0,0.0,1.8434840497125549e-06,1.8434840496356718e-06,0.0,7.688328837879109e-17
9.999999999999999e-11,0.13114689495544377,3.76,0.0,0.8475355761106704,0.9999999999999998,0.0,0.0,3.2103399958025586e-06,3.21033999556944e-06,0.0,2.33118632168877e-16
